# Kpath    Energy-Level (in eV)
# Band    1
       1.08052     -12.14784
       1.06628     -12.10387
       1.05204     -12.05992
       1.03780     -12.01618
       1.02356     -11.97288
       1.00932     -11.93031
       0.99508     -11.88869
       0.98084     -11.84841
       0.96660     -11.80987
       0.95236     -11.77337
       0.93811     -11.73943
       0.92387     -11.70853
       0.90963     -11.68118
       0.89539     -11.65789
       0.88115     -11.63913
       0.86691     -11.62542
       0.85267     -11.61703
       0.83843     -11.61421
       0.83843     -11.61421
       0.82132     -11.61097
       0.80421     -11.60135
       0.78710     -11.58544
       0.76999     -11.56350
       0.75287     -11.53578
       0.73576     -11.54658
       0.71865     -11.56489
       0.70154     -11.58488
       0.68443     -11.60619
       0.66732     -11.62851
       0.65021     -11.65147
       0.63310     -11.67480
       0.61599     -11.69814
       0.59888     -11.72135
       0.58177     -11.74413
       0.56466     -11.76626
       0.54755     -11.78752
       0.53043     -11.80777
       0.51332     -11.82674
       0.49621     -11.84432
       0.47910     -11.86029
       0.46199     -11.87458
       0.44488     -11.88700
       0.42777     -11.89745
       0.41066     -11.90574
       0.39355     -11.91181
       0.37644     -11.91552
       0.35933     -11.91679
       0.34222     -11.91548
       0.32511     -11.91153
       0.30799     -11.90485
       0.29088     -11.89548
       0.27377     -11.88334
       0.25666     -11.86851
       0.23955     -11.85100
       0.22244     -11.83097
       0.20533     -11.80856
       0.18822     -11.78406
       0.17111     -11.75777
       0.15400     -11.73013
       0.13689     -11.70157
       0.11978     -11.67286
       0.10266     -11.64479
       0.08555     -11.61821
       0.06844     -11.59430
       0.05133     -11.57407
       0.03422     -11.55870
       0.01711     -11.54901
       0.00000     -11.54572
# Band    5
       0.00000     -10.21786
       0.01711     -10.21230
       0.03422     -10.19584
       0.05133     -10.16918
       0.06844     -10.13344
       0.08555     -10.08987
       0.10266     -10.03971
       0.11978      -9.98430
       0.13689      -9.92503
       0.15400      -9.86298
       0.17111      -9.79939
       0.18822      -9.73522
       0.20533      -9.67162
       0.22244      -9.60958
       0.23955      -9.54990
       0.25666      -9.49384
       0.27377      -9.46384
       0.29088      -9.56205
       0.30799      -9.65908
       0.32511      -9.75488
       0.34222      -9.84962
       0.35933      -9.94306
       0.37644     -10.03518
       0.39355     -10.12604
       0.41066     -10.21540
       0.42777     -10.30326
       0.44488     -10.38955
